PATH  Rmax= 8.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
     1    2   1.000  index, nleg, degeneracy, r=  2.7563
    1.505500    3.604500    3.736000   2 'Ag    '     5.4052  177.5708    0.0000
    0.708500    1.934500    1.882000   2 'Ag    '     2.6194    4.7095    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     2.7904  177.7197    0.0000
    68    4   1.000  index, nleg, degeneracy, r=  5.4098
      x           y           z     ipot  label      rleg      beta        eta
    0.708500    1.934500    1.882000   2 'Ag    '     2.7904    4.7095    0.0000
    1.505500    3.604500    3.736000   2 'Ag    '     2.6194  180.0000    0.0000
    0.708500    1.934500    1.882000   2 'Ag    '     2.6194    4.7095    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     2.7904  180.0000    0.0000
    69    3   2.000  index, nleg, degeneracy, r=  5.4261
      x           y           z     ipot  label      rleg      beta        eta
   -3.418500   -3.000500    2.338000   2 'Ag    '     5.1142  153.8500    0.0000
   -0.752000   -1.783000    2.007000   2 'Ag    '     2.9499   53.9463    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     2.7879  152.2037    0.0000
    70    2   1.000  index, nleg, degeneracy, r=  5.5049
      x           y           z     ipot  label      rleg      beta        eta
    2.263000   -5.018000   -0.069000   2 'Ag    '     5.5051  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     5.5051  180.0000    0.0000
    71    3   2.000  index, nleg, degeneracy, r=  5.5086
      x           y           z     ipot  label      rleg      beta        eta
    2.263000   -5.018000   -0.069000   2 'Ag    '     5.5051  177.0586    0.0000
    1.026500   -2.612000   -0.020500   2 'Ag    '     2.7056    5.7768    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     2.8065  177.1645    0.0000
    72    4   1.000  index, nleg, degeneracy, r=  5.5121
      x           y           z     ipot  label      rleg      beta        eta
    1.026500   -2.612000   -0.020500   2 'Ag    '     2.8065    5.7768    0.0000
    2.263000   -5.018000   -0.069000   2 'Ag    '     2.7056  180.0000    0.0000
    1.026500   -2.612000   -0.020500   2 'Ag    '     2.7056    5.7768    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     2.8065  180.0000    0.0000
    73    4   1.000  index, nleg, degeneracy, r=  5.5127
      x           y           z     ipot  label      rleg      beta        eta
    0.804000    1.712000   -2.005000   2 'Ag    '     2.7563  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     2.7563  180.0000    0.0000
    0.804000    1.712000   -2.005000   2 'Ag    '     2.7563  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     2.7563  180.0000    0.0000
    74    3   2.000  index, nleg, degeneracy, r=  5.5440
      x           y           z     ipot  label      rleg      beta        eta
    0.804000    1.712000   -2.005000   2 'Ag    '     2.7563  179.1461    0.0000
   -0.752000   -1.783000    2.007000   2 'Ag    '     5.5437  179.1558    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     2.7879    1.6981    0.0000
    75    4   2.000  index, nleg, degeneracy, r=  5.5440
