cpu-bind=MASK - cn045, task  0  0 [2772101]: mask 0x51390200513902 set
cpu-bind=MASK - cn045, task  0  0 [2772189]: mask 0x51390200513902 set
cpu-bind=MASK - cn045, task  1  1 [2772190]: mask 0x51390200513902 set
LAMMPS (12 Jun 2025 - Development - patch_12Jun2025-673-gd34d6b79e3-modified)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (50 50 50)
  1 by 1 by 2 MPI processor grid
  reading atoms ...
  147 atoms
  read_data CPU = 0.001 seconds
Loading MACE model from 'mace-mpa-0-medium-47-79.json' ... success
  mapping LAMMPS type 1 (Ag) to MACE type 0
  mapping LAMMPS type 2 (Au) to MACE type 1
System init for write_data ...
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 8
  ghost atom cutoff = 8
  binsize = 4, bins = 13 13 13
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair symmetrix/mace, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.002
Per MPI rank memory allocation (min/avg/max) = 3.404 | 3.467 | 3.53 Mbytes
   Step          Temp          Press            Lx             Ly             Lz           Volume         TotEng         PotEng
       241   170.79778     -145.90616      50             50             50             125000        -2.7520062     -2.7739334
       242   170.67987     -144.86268      50             50             50             125000        -2.7519817     -2.7738937
       243   170.70375     -143.81678      50             50             50             125000        -2.7519571     -2.7738722
       244   170.87163     -142.77361      50             50             50             125000        -2.7519325     -2.7738691
       245   171.18256     -141.73694      50             50             50             125000        -2.7519078     -2.7738843
       246   171.63247     -140.70962      50             50             50             125000        -2.751883      -2.7739173
       247   172.21428     -139.68763      50             50             50             125000        -2.7518581     -2.7739671
       248   172.91821     -138.66698      50             50             50             125000        -2.7518331     -2.7740325
       249   173.73216     -137.64183      50             50             50             125000        -2.7518079     -2.7741118
       250   174.64207     -136.60746      50             50             50             125000        -2.7517826     -2.7742033
       251   175.63231     -135.55722      50             50             50             125000        -2.751757      -2.7743048
       252   176.68611     -134.48006      50             50             50             125000        -2.7517313     -2.7744144
       253   177.78601     -133.36871      50             50             50             125000        -2.7517053     -2.7745296
       254   178.91438     -132.21218      50             50             50             125000        -2.7516791     -2.7746483
       255   180.05386     -131.00211      50             50             50             125000        -2.7516527     -2.7747682
       256   181.18769     -129.72866      50             50             50             125000        -2.7516261     -2.7748871
       257   182.30007     -128.38097      50             50             50             125000        -2.7515992     -2.775003
       258   183.37648     -126.95556      50             50             50             125000        -2.7515721     -2.7751141
       259   184.40393     -125.44556      50             50             50             125000        -2.7515447     -2.7752187
       260   185.37121     -123.84793      50             50             50             125000        -2.7515172     -2.7753153
       261   186.26895     -122.15851      50             50             50             125000        -2.7514894     -2.7754028
       262   187.08979     -120.37557      50             50             50             125000        -2.7514615     -2.7754802
       263   187.82834     -118.50026      50             50             50             125000        -2.7514334     -2.7755469
       264   188.48124     -116.5352       50             50             50             125000        -2.7514051     -2.7756025
       265   189.04699     -114.48277      50             50             50             125000        -2.7513766     -2.7756466
       266   189.52588     -112.34858      50             50             50             125000        -2.751348      -2.7756795
       267   189.91989     -110.1376       50             50             50             125000        -2.7513193     -2.7757014
       268   190.23257     -107.85574      50             50             50             125000        -2.7512905     -2.7757127
       269   190.46877     -105.5098       50             50             50             125000        -2.7512616     -2.7757141
       270   190.63447     -103.11103      50             50             50             125000        -2.7512326     -2.7757064
       271   190.73651     -100.67219      50             50             50             125000        -2.7512035     -2.7756904
       272   190.78237     -98.202848      50             50             50             125000        -2.7511744     -2.7756672
       273   190.78        -95.710993      50             50             50             125000        -2.7511451     -2.7756376
       274   190.73758     -93.206125      50             50             50             125000        -2.7511159     -2.7756029
       275   190.66323     -90.701085      50             50             50             125000        -2.7510866     -2.7755641
       276   190.56488     -88.205629      50             50             50             125000        -2.7510573     -2.7755222
       277   190.45003     -85.728121      50             50             50             125000        -2.7510279     -2.7754781
       278   190.32564     -83.274965      50             50             50             125000        -2.7509985     -2.7754327
       279   190.19796     -80.854668      50             50             50             125000        -2.7509691     -2.7753869
       280   190.07245     -78.47465       50             50             50             125000        -2.7509396     -2.7753413
       281   189.95363     -76.141986      50             50             50             125000        -2.7509102     -2.7752966
       282   189.84507     -73.858522      50             50             50             125000        -2.7508806     -2.7752531
       283   189.74935     -71.627942      50             50             50             125000        -2.7508511     -2.7752113
       284   189.66807     -69.452114      50             50             50             125000        -2.7508215     -2.7751712
       285   189.60178     -67.330037      50             50             50             125000        -2.7507919     -2.7751331
